#t x y z vx vy vz
0.00 -1.60 2.87 -1.46 -0.33 3.38 -0.43
71.43 -1.61 2.98 -1.48 -1.43 7.47 -0.36
142.86 -1.81 3.15 -1.56 -3.47 8.91 -0.93
214.29 -2.21 3.45 -1.58 -2.76 7.93 0.07
285.71 -2.45 3.80 -1.56 -4.29 8.14 -0.19
357.14 -2.88 4.17 -1.51 -6.56 7.83 0.60
428.57 -3.36 4.86 -1.63 -8.72 12.86 -2.30
500.00 -3.69 5.52 -1.80 -4.68 11.13 -2.80
571.43 -3.91 6.08 -2.00 -3.25 7.33 -1.92
642.86 -4.00 6.62 -2.14 -5.10 4.47 -1.81
714.29 -4.17 7.05 -2.21 -7.72 6.15 -0.90
785.71 -4.58 7.71 -2.53 -8.08 9.66 -6.52
857.14 -5.06 8.45 -3.15 -9.56 6.64 -9.65
928.57 -5.97 9.26 -3.70 -11.33 10.99 -9.23
1000.00 -6.74 10.23 -4.30 -6.10 10.77 -7.73
1071.43 -7.08 11.08 -4.85 -3.99 11.03 -8.51
1142.86 -7.46 12.15 -5.62 -4.76 16.83 -10.65
1214.29 -7.92 13.33 -6.42 -7.63 14.83 -11.17
1285.71 -8.65 14.47 -7.17 -9.36 16.15 -10.91
1357.14 -9.27 15.84 -7.95 -11.34 18.22 -11.25
1428.57 -9.91 17.13 -8.83 -11.02 14.19 -13.48
1500.00 -10.69 18.29 -9.82 -13.06 21.77 -14.82
1571.43 -11.43 19.75 -10.84 -11.11 23.66 -15.71
1642.86 -12.30 21.49 -11.78 -13.92 25.79 -12.70
1714.29 -13.23 23.34 -12.74 -11.98 27.12 -14.23
1785.71 -14.27 25.32 -13.75 -13.91 25.34 -15.65
1857.14 -15.33 27.26 -14.82 -17.86 27.57 -15.17
1928.57 -16.63 29.34 -15.78 -24.07 29.75 -15.03
2000.00 -18.19 31.75 -16.87 -22.37 34.77 -15.28
2071.43 -19.74 34.22 -17.99 -22.29 39.51 -16.57
2142.86 -21.33 37.04 -19.18 -17.88 40.51 -15.55
2214.29 -22.78 39.89 -20.43 -19.41 39.44 -19.05
2285.71 -24.37 42.85 -21.83 -23.43 39.09 -19.20
2357.14 -26.10 45.86 -23.16 -24.91 44.48 -19.26
2428.57 -27.69 49.09 -24.49 -23.99 44.15 -19.48
2500.00 -29.32 52.27 -25.88 -24.39 49.58 -20.19
2571.43 -31.03 55.91 -27.36 -25.09 54.31 -21.94
2642.86 -32.84 59.66 -28.78 -26.25 53.60 -19.37
2714.29 -34.83 63.57 -30.28 -26.89 55.19 -22.13
2785.71 -36.91 67.76 -31.90 -28.25 58.22 -24.09
2857.14 -39.05 72.14 -33.62 -31.52 63.53 -23.87
2928.57 -41.22 76.89 -35.40 -30.64 66.47 -27.93
3000.00 -43.31 81.92 -37.42 -30.58 73.14 -28.38
3071.43 -45.43 87.39 -39.44 -32.88 80.37 -28.07
3142.86 -47.74 93.16 -41.50 -34.03 82.40 -30.31
3214.29 -50.11 99.24 -43.67 -36.41 84.36 -30.28
3285.71 -52.92 105.55 -45.75 -39.88 90.75 -30.50
3357.14 -55.73 112.45 -47.93 -43.00 98.07 -31.60
3428.57 -58.75 119.98 -50.13 -42.76 111.13 -30.48
3500.00 -61.73 128.30 -52.28 -40.31 120.66 -30.21
3571.43 -64.77 137.33 -54.38 -42.59 132.92 -28.11
3642.86 -67.91 147.38 -56.33 -43.69 149.24 -27.66
3714.29 -70.98 158.77 -58.09 -43.45 171.40 -21.11
3785.71 -74.08 171.75 -59.26 -43.77 191.86 -10.85
3857.14 -77.09 186.70 -59.40 -36.43 227.73 10.36
3928.57 -78.65 204.37 -57.23 -5.58 264.61 57.18
4000.00 -76.84 223.06 -50.35 57.23 245.64 129.51
4071.43 -71.40 238.33 -40.10 91.53 183.06 148.32
4142.86 -64.99 249.22 -30.14 84.23 125.91 128.72
4214.29 -59.08 256.90 -21.89 74.54 90.03 103.37
4285.71 -53.87 262.41 -15.17 67.38 65.73 86.02
4357.14 -49.17 266.28 -9.71 62.89 44.94 70.88
4428.57 -44.65 268.76 -5.03 61.56 26.05 62.83
4500.00 -40.43 270.03 -0.94 58.33 8.51 52.73
4571.43 -36.39 270.16 2.72 53.23 -6.06 49.84
4642.86 -32.52 269.32 6.12 51.76 -17.48 43.29
4714.29 -28.94 267.76 9.08 52.00 -28.69 37.63
4785.71 -25.41 265.36 11.66 50.83 -40.06 32.71
4857.14 -21.88 262.04 13.98 49.59 -51.20 29.91
4928.57 -18.54 258.13 16.06 44.81 -60.43 25.89
