#t x y z vx vy vz
0.00 -98.51 -120.01 -127.77 -29.95 173.70 91.65
0.00 -98.54 -119.84 -127.68 -29.88 173.78 91.74
0.00 -98.57 -119.66 -127.59 -29.81 173.86 91.83
0.00 -98.60 -119.49 -127.49 -29.74 173.95 91.92
0.00 -98.63 -119.31 -127.40 -29.67 174.03 92.01
0.01 -98.66 -119.14 -127.31 -29.61 174.12 92.10
0.01 -98.69 -118.97 -127.22 -29.54 174.20 92.19
0.01 -98.72 -118.79 -127.13 -29.47 174.28 92.28
0.01 -98.75 -118.62 -127.03 -29.40 174.37 92.37
0.01 -98.78 -118.44 -126.94 -29.33 174.45 92.46
0.01 -98.81 -118.27 -126.85 -29.26 174.53 92.55
0.01 -98.84 -118.09 -126.76 -29.19 174.62 92.64
0.01 -98.86 -117.92 -126.66 -29.12 174.70 92.73
0.01 -98.89 -117.74 -126.57 -29.05 174.78 92.82
0.01 -98.92 -117.57 -126.48 -28.98 174.87 92.91
0.02 -98.95 -117.40 -126.39 -28.91 174.95 93.00
0.02 -98.98 -117.22 -126.29 -28.84 175.04 93.09
0.02 -99.01 -117.05 -126.20 -28.76 175.12 93.18
0.02 -99.04 -116.87 -126.11 -28.69 175.20 93.27
0.02 -99.07 -116.69 -126.01 -28.62 175.29 93.36
0.02 -99.10 -116.52 -125.92 -28.55 175.37 93.45
0.02 -99.12 -116.34 -125.83 -28.48 175.46 93.55
0.02 -99.15 -116.17 -125.73 -28.41 175.54 93.64
0.02 -99.18 -115.99 -125.64 -28.34 175.62 93.73
0.02 -99.21 -115.82 -125.54 -28.26 175.71 93.82
0.03 -99.24 -115.64 -125.45 -28.19 175.79 93.91
0.03 -99.27 -115.47 -125.36 -28.12 175.88 94.00
0.03 -99.29 -115.29 -125.26 -28.05 175.96 94.10
0.03 -99.32 -115.11 -125.17 -27.97 176.05 94.19
0.03 -99.35 -114.94 -125.07 -27.90 176.13 94.28
0.03 -99.38 -114.76 -124.98 -27.83 176.21 94.37
0.03 -99.40 -114.59 -124.89 -27.75 176.30 94.46
0.03 -99.43 -114.41 -124.79 -27.68 176.38 94.56
0.03 -99.46 -114.23 -124.70 -27.61 176.47 94.65
0.03 -99.49 -114.06 -124.60 -27.53 176.55 94.74
0.04 -99.52 -113.88 -124.51 -27.46 176.64 94.83
0.04 -99.54 -113.70 -124.41 -27.39 176.72 94.93
0.04 -99.57 -113.53 -124.32 -27.31 176.81 95.02
0.04 -99.60 -113.35 -124.22 -27.24 176.89 95.11
0.04 -99.62 -113.17 -124.13 -27.16 176.98 95.21
0.04 -99.65 -113.00 -124.03 -27.09 177.06 95.30
0.04 -99.68 -112.82 -123.94 -27.01 177.15 95.39
0.04 -99.71 -112.64 -123.84 -26.94 177.23 95.49
0.04 -99.73 -112.46 -123.75 -26.86 177.32 95.58
0.04 -99.76 -112.29 -123.65 -26.79 177.40 95.67
0.05 -99.79 -112.11 -123.55 -26.71 177.49 95.77
0.05 -99.81 -111.93 -123.46 -26.64 177.57 95.86
0.05 -99.84 -111.75 -123.36 -26.56 177.66 95.96
0.05 -99.87 -111.58 -123.27 -26.48 177.74 96.05
0.05 -99.89 -111.40 -123.17 -26.41 177.83 96.15
0.05 -99.92 -111.22 -123.07 -26.33 177.91 96.24
0.05 -99.95 -111.04 -122.98 -26.26 178.00 96.33
0.05 -99.97 -110.86 -122.88 -26.18 178.08 96.43
0.05 -100.00 -110.69 -122.78 -26.10 178.17 96.52
0.05 -100.02 -110.51 -122.69 -26.02 178.25 96.62
0.06 -100.05 -110.33 -122.59 -25.95 178.34 96.71
0.06 -100.08 -110.15 -122.49 -25.87 178.42 96.81
0.06 -100.10 -109.97 -122.40 -25.79 178.51 96.90
0.06 -100.13 -109.79 -122.30 -25.71 178.59 97.00
0.06 -100.15 -109.62 -122.20 -25.64 178.68 97.10
0.06 -100.18 -109.44 -122.11 -25.56 178.76 97.19
0.06 -100.20 -109.26 -122.01 -25.48 178.85 97.29
0.06 -100.23 -109.08 -121.91 -25.40 178.93 97.38
0.06 -100.25 -108.90 -121.81 -25.32 179.02 97.48
0.06 -100.28 -108.72 -121.72 -25.24 179.10 97.57
0.07 -100.31 -108.54 -121.62 -25.17 179.19 97.67
0.07 -100.33 -108.36 -121.52 -25.09 179.28 97.77
0.07 -100.36 -108.18 -121.42 -25.01 179.36 97.86
0.07 -100.38 -108.00 -121.33 -24.93 179.45 97.96
0.07 -100.41 -107.82 -121.23 -24.85 179.53 98.06
0.07 -100.43 -107.64 -121.13 -24.77 179.62 98.15
0.07 -100.45 -107.47 -121.03 -24.69 179.70 98.25
0.07 -100.48 -107.29 -120.93 -24.61 179.79 98.35
0.07 -100.50 -107.11 -120.84 -24.53 179.88 98.44
0.07 -100.53 -106.93 -120.74 -24.45 179.96 98.54
0.08 -100.55 -106.75 -120.64 -24.37 180.05 98.64
0.08 -100.58 -106.57 -120.54 -24.28 180.13 98.74
0.08 -100.60 -106.39 -120.44 -24.20 180.22 98.83
0.08 -100.63 -106.21 -120.34 -24.12 180.31 98.93
0.08 -100.65 -106.02 -120.24 -24.04 180.39 99.03
0.08 -100.67 -105.84 -120.14 -23.96 180.48 99.13
0.08 -100.70 -105.66 -120.04 -23.88 180.56 99.23
0.08 -100.72 -105.48 -119.95 -23.80 180.65 99.32
0.08 -100.74 -105.30 -119.85 -23.71 180.74 99.42
0.08 -100.77 -105.12 -119.75 -23.63 180.82 99.52
0.09 -100.79 -104.94 -119.65 -23.55 180.91 99.62
0.09 -100.82 -104.76 -119.55 -23.46 180.99 99.72
0.09 -100.84 -104.58 -119.45 -23.38 181.08 99.82
0.09 -100.86 -104.40 -119.35 -23.30 181.17 99.92
0.09 -100.89 -104.22 -119.25 -23.21 181.25 100.01
0.09 -100.91 -104.04 -119.15 -23.13 181.34 100.11
0.09 -100.93 -103.85 -119.05 -23.05 181.43 100.21
0.09 -100.96 -103.67 -118.95 -22.96 181.51 100.31
0.09 -100.98 -103.49 -118.85 -22.88 181.60 100.41
0.09 -101.00 -103.31 -118.75 -22.79 181.68 100.51
0.10 -101.02 -103.13 -118.65 -22.71 181.77 100.61
0.10 -101.05 -102.95 -118.54 -22.63 181.86 100.71
0.10 -101.07 -102.76 -118.44 -22.54 181.94 100.81
0.10 -101.09 -102.58 -118.34 -22.46 182.03 100.91
0.10 -101.11 -102.40 -118.24 -22.37 182.12 101.01
0.10 -101.14 -102.22 -118.14 -22.28 182.20 101.11
0.10 -101.16 -102.04 -118.04 -22.20 182.29 101.21
0.10 -101.18 -101.85 -117.94 -22.11 182.38 101.31
0.10 -101.20 -101.67 -117.84 -22.03 182.46 101.41
0.10 -101.22 -101.49 -117.74 -21.94 182.55 101.52
0.11 -101.25 -101.31 -117.63 -21.85 182.64 101.62
0.11 -101.27 -101.12 -117.53 -21.77 182.72 101.72
0.11 -101.29 -100.94 -117.43 -21.68 182.81 101.82
0.11 -101.31 -100.76 -117.33 -21.59 182.90 101.92
0.11 -101.33 -100.57 -117.23 -21.51 182.98 102.02
0.11 -101.35 -100.39 -117.13 -21.42 183.07 102.12
0.11 -101.38 -100.21 -117.02 -21.33 183.16 102.23
0.11 -101.40 -100.02 -116.92 -21.24 183.24 102.33
0.11 -101.42 -99.84 -116.82 -21.15 183.33 102.43
0.11 -101.44 -99.66 -116.72 -21.07 183.42 102.53
0.12 -101.46 -99.47 -116.61 -20.98 183.51 102.63
0.12 -101.48 -99.29 -116.51 -20.89 183.59 102.74
0.12 -101.50 -99.11 -116.41 -20.80 183.68 102.84
0.12 -101.52 -98.92 -116.30 -20.71 183.77 102.94
0.12 -101.54 -98.74 -116.20 -20.62 183.85 103.04
0.12 -101.56 -98.56 -116.10 -20.53 183.94 103.15
0.12 -101.58 -98.37 -116.00 -20.44 184.03 103.25
0.12 -101.61 -98.19 -115.89 -20.35 184.11 103.35
0.12 -101.63 -98.00 -115.79 -20.26 184.20 103.46
0.12 -101.65 -97.82 -115.69 -20.17 184.29 103.56
0.13 -101.67 -97.64 -115.58 -20.08 184.38 103.66
0.13 -101.69 -97.45 -115.48 -19.99 184.46 103.77
0.13 -101.71 -97.27 -115.37 -19.90 184.55 103.87
0.13 -101.73 -97.08 -115.27 -19.81 184.64 103.98
0.13 -101.75 -96.90 -115.17 -19.71 184.73 104.08
0.13 -101.77 -96.71 -115.06 -19.62 184.81 104.18
0.13 -101.78 -96.53 -114.96 -19.53 184.90 104.29
0.13 -101.80 -96.34 -114.85 -19.44 184.99 104.39
0.13 -101.82 -96.16 -114.75 -19.35 185.07 104.50
0.13 -101.84 -95.97 -114.64 -19.25 185.16 104.60
0.14 -101.86 -95.79 -114.54 -19.16 185.25 104.71
0.14 -101.88 -95.60 -114.44 -19.07 185.34 104.81
0.14 -101.90 -95.42 -114.33 -18.97 185.42 104.92
0.14 -101.92 -95.23 -114.23 -18.88 185.51 105.02
0.14 -101.94 -95.05 -114.12 -18.79 185.60 105.13
0.14 -101.96 -94.86 -114.02 -18.69 185.69 105.23
0.14 -101.98 -94.67 -113.91 -18.60 185.77 105.34
0.14 -101.99 -94.49 -113.80 -18.51 185.86 105.44
0.14 -102.01 -94.30 -113.70 -18.41 185.95 105.55
0.14 -102.03 -94.12 -113.59 -18.32 186.04 105.66
0.15 -102.05 -93.93 -113.49 -18.22 186.12 105.76
0.15 -102.07 -93.74 -113.38 -18.13 186.21 105.87
0.15 -102.09 -93.56 -113.28 -18.03 186.30 105.98
0.15 -102.10 -93.37 -113.17 -17.93 186.39 106.08
0.15 -102.12 -93.19 -113.06 -17.84 186.47 106.19
0.15 -102.14 -93.00 -112.96 -17.74 186.56 106.30
0.15 -102.16 -92.81 -112.85 -17.65 186.65 106.40
0.15 -102.17 -92.63 -112.74 -17.55 186.74 106.51
0.15 -102.19 -92.44 -112.64 -17.45 186.83 106.62
0.15 -102.21 -92.25 -112.53 -17.36 186.91 106.72
0.16 -102.23 -92.06 -112.42 -17.26 187.00 106.83
0.16 -102.24 -91.88 -112.32 -17.16 187.09 106.94
0.16 -102.26 -91.69 -112.21 -17.06 187.18 107.05
0.16 -102.28 -91.50 -112.10 -16.96 187.26 107.16
0.16 -102.29 -91.32 -112.00 -16.87 187.35 107.26
0.16 -102.31 -91.13 -111.89 -16.77 187.44 107.37
0.16 -102.33 -90.94 -111.78 -16.67 187.53 107.48
0.16 -102.34 -90.75 -111.67 -16.57 187.62 107.59
0.16 -102.36 -90.57 -111.57 -16.47 187.70 107.70
0.16 -102.38 -90.38 -111.46 -16.37 187.79 107.81
0.17 -102.39 -90.19 -111.35 -16.27 187.88 107.91
0.17 -102.41 -90.00 -111.24 -16.17 187.97 108.02
0.17 -102.43 -89.81 -111.13 -16.07 188.05 108.13
0.17 -102.44 -89.63 -111.03 -15.97 188.14 108.24
0.17 -102.46 -89.44 -110.92 -15.87 188.23 108.35
0.17 -102.47 -89.25 -110.81 -15.77 188.32 108.46
0.17 -102.49 -89.06 -110.70 -15.67 188.41 108.57
0.17 -102.51 -88.87 -110.59 -15.57 188.49 108.68
0.17 -102.52 -88.68 -110.48 -15.47 188.58 108.79
0.17 -102.54 -88.50 -110.38 -15.36 188.67 108.90
0.18 -102.55 -88.31 -110.27 -15.26 188.76 109.01
0.18 -102.57 -88.12 -110.16 -15.16 188.85 109.12
0.18 -102.58 -87.93 -110.05 -15.06 188.93 109.23
0.18 -102.60 -87.74 -109.94 -14.95 189.02 109.34
0.18 -102.61 -87.55 -109.83 -14.85 189.11 109.45
0.18 -102.63 -87.36 -109.72 -14.75 189.20 109.56
0.18 -102.64 -87.17 -109.61 -14.64 189.29 109.68
0.18 -102.66 -86.98 -109.50 -14.54 189.37 109.79
0.18 -102.67 -86.79 -109.39 -14.44 189.46 109.90
0.18 -102.68 -86.60 -109.28 -14.33 189.55 110.01
0.19 -102.70 -86.42 -109.17 -14.23 189.64 110.12
0.19 -102.71 -86.23 -109.06 -14.12 189.73 110.23
0.19 -102.73 -86.04 -108.95 -14.02 189.81 110.35
0.19 -102.74 -85.85 -108.84 -13.91 189.90 110.46
0.19 -102.76 -85.66 -108.73 -13.81 189.99 110.57
0.19 -102.77 -85.47 -108.62 -13.70 190.08 110.68
0.19 -102.78 -85.28 -108.51 -13.60 190.17 110.80
0.19 -102.80 -85.09 -108.40 -13.49 190.26 110.91
0.19 -102.81 -84.90 -108.29 -13.38 190.34 111.02
0.19 -102.82 -84.70 -108.17 -13.28 190.43 111.13
0.20 -102.84 -84.51 -108.06 -13.17 190.52 111.25
0.20 -102.85 -84.32 -107.95 -13.06 190.61 111.36
0.20 -102.86 -84.13 -107.84 -12.95 190.70 111.47
0.20 -102.88 -83.94 -107.73 -12.85 190.78 111.59
0.20 -102.89 -83.75 -107.62 -12.74 190.87 111.70
0.20 -102.90 -83.56 -107.51 -12.63 190.96 111.81
0.20 -102.91 -83.37 -107.39 -12.52 191.05 111.93
0.20 -102.93 -83.18 -107.28 -12.41 191.14 112.04
0.20 -102.94 -82.99 -107.17 -12.30 191.23 112.16
0.20 -102.95 -82.80 -107.06 -12.19 191.31 112.27
0.21 -102.96 -82.60 -106.95 -12.08 191.40 112.39
0.21 -102.97 -82.41 -106.83 -11.97 191.49 112.50
0.21 -102.99 -82.22 -106.72 -11.86 191.58 112.62
0.21 -103.00 -82.03 -106.61 -11.75 191.67 112.73
0.21 -103.01 -81.84 -106.50 -11.64 191.75 112.85
0.21 -103.02 -81.65 -106.38 -11.53 191.84 112.96
0.21 -103.03 -81.45 -106.27 -11.42 191.93 113.08
0.21 -103.04 -81.26 -106.16 -11.31 192.02 113.19
0.21 -103.06 -81.07 -106.04 -11.19 192.11 113.31
0.21 -103.07 -80.88 -105.93 -11.08 192.19 113.42
0.22 -103.08 -80.69 -105.82 -10.97 192.28 113.54
0.22 -103.09 -80.49 -105.70 -10.86 192.37 113.66
0.22 -103.10 -80.30 -105.59 -10.74 192.46 113.77
0.22 -103.11 -80.11 -105.47 -10.63 192.55 113.89
0.22 -103.12 -79.92 -105.36 -10.52 192.64 114.01
0.22 -103.13 -79.72 -105.25 -10.40 192.72 114.12
0.22 -103.14 -79.53 -105.13 -10.29 192.81 114.24
0.22 -103.15 -79.34 -105.02 -10.17 192.90 114.36
0.22 -103.16 -79.15 -104.90 -10.06 192.99 114.47
0.22 -103.17 -78.95 -104.79 -9.95 193.08 114.59
0.23 -103.18 -78.76 -104.67 -9.83 193.16 114.71
0.23 -103.19 -78.57 -104.56 -9.71 193.25 114.83
0.23 -103.20 -78.37 -104.45 -9.60 193.34 114.94
0.23 -103.21 -78.18 -104.33 -9.48 193.43 115.06
0.23 -103.22 -77.99 -104.21 -9.37 193.52 115.18
0.23 -103.23 -77.79 -104.10 -9.25 193.60 115.30
0.23 -103.24 -77.60 -103.98 -9.13 193.69 115.42
0.23 -103.25 -77.40 -103.87 -9.02 193.78 115.54
0.23 -103.26 -77.21 -103.75 -8.90 193.87 115.65
0.23 -103.27 -77.02 -103.64 -8.78 193.96 115.77
0.24 -103.27 -76.82 -103.52 -8.66 194.04 115.89
0.24 -103.28 -76.63 -103.41 -8.54 194.13 116.01
0.24 -103.29 -76.43 -103.29 -8.42 194.22 116.13
0.24 -103.30 -76.24 -103.17 -8.31 194.31 116.25
0.24 -103.31 -76.05 -103.06 -8.19 194.40 116.37
0.24 -103.32 -75.85 -102.94 -8.07 194.48 116.49
0.24 -103.32 -75.66 -102.82 -7.95 194.57 116.61
0.24 -103.33 -75.46 -102.71 -7.83 194.66 116.73
0.24 -103.34 -75.27 -102.59 -7.71 194.75 116.85
0.24 -103.35 -75.07 -102.47 -7.58 194.84 116.97
0.25 -103.35 -74.88 -102.36 -7.46 194.92 117.09
0.25 -103.36 -74.68 -102.24 -7.34 195.01 117.21
0.25 -103.37 -74.49 -102.12 -7.22 195.10 117.33
0.25 -103.38 -74.29 -102.01 -7.10 195.19 117.45
0.25 -103.38 -74.10 -101.89 -6.98 195.28 117.58
0.25 -103.39 -73.90 -101.77 -6.85 195.36 117.70
0.25 -103.40 -73.71 -101.65 -6.73 195.45 117.82
0.25 -103.40 -73.51 -101.53 -6.61 195.54 117.94
0.25 -103.41 -73.32 -101.42 -6.48 195.63 118.06
0.25 -103.42 -73.12 -101.30 -6.36 195.71 118.18
0.26 -103.42 -72.92 -101.18 -6.24 195.80 118.31
0.26 -103.43 -72.73 -101.06 -6.11 195.89 118.43
0.26 -103.44 -72.53 -100.94 -5.99 195.98 118.55
0.26 -103.44 -72.34 -100.82 -5.86 196.06 118.67
0.26 -103.45 -72.14 -100.71 -5.74 196.15 118.80
0.26 -103.45 -71.94 -100.59 -5.61 196.24 118.92
0.26 -103.46 -71.75 -100.47 -5.48 196.33 119.04
