#t x y z vx vy vz
0.00 -476.25 491.47 -412.34 45.33 101.98 142.02
71.43 -472.87 498.93 -402.00 48.24 106.43 147.11
142.86 -469.14 506.71 -391.36 58.54 111.42 150.78
214.29 -464.70 514.90 -380.29 63.14 116.57 159.97
285.71 -459.91 523.43 -368.50 71.81 123.80 170.88
357.14 -454.39 532.50 -355.82 81.39 129.04 183.43
428.57 -448.05 541.93 -342.35 96.31 133.64 191.17
500.00 -440.86 551.49 -328.39 108.41 135.03 202.87
571.43 -432.25 561.19 -313.58 130.05 136.89 210.53
642.86 -422.08 570.93 -298.01 153.81 133.87 222.67
714.29 -410.38 580.36 -281.63 177.90 126.65 235.18
785.71 -396.72 588.94 -264.54 205.42 113.67 242.98
857.14 -380.92 596.29 -247.10 236.44 93.19 247.58
928.57 -362.85 601.85 -229.33 263.48 59.81 245.42
1000.00 -343.43 605.14 -212.06 280.17 32.02 237.29
1071.43 -323.19 606.37 -195.55 287.86 1.99 220.24
1142.86 -302.70 605.49 -180.47 286.56 -25.16 203.89
1214.29 -282.28 602.78 -166.45 281.44 -53.33 186.60
1285.71 -262.55 598.36 -153.57 271.24 -68.65 175.54
1357.14 -243.37 592.96 -141.40 262.72 -81.43 164.15
1428.57 -224.83 586.57 -130.16 256.69 -96.41 150.28
1500.00 -207.04 579.28 -119.84 244.56 -107.60 139.32
1571.43 -189.87 571.29 -110.34 237.02 -115.52 129.88
1642.86 -173.27 562.83 -101.36 227.44 -122.79 119.67
1714.29 -157.46 553.83 -93.08 217.70 -131.02 112.45
1785.71 -142.27 544.26 -85.36 207.54 -135.56 104.80
1857.14 -127.76 534.40 -78.13 199.10 -141.79 98.47
1928.57 -113.67 524.06 -71.42 190.69 -147.65 90.26
2000.00 -100.29 513.27 -65.19 182.50 -155.01 84.07
2071.43 -87.61 502.05 -59.36 171.14 -157.59 79.95
2142.86 -75.63 490.77 -53.89 168.14 -157.21 73.46
2214.29 -64.02 479.33 -48.97 156.66 -161.27 68.14
2285.71 -52.96 467.57 -44.23 149.96 -165.40 63.31
2357.14 -42.40 455.63 -39.84 144.12 -170.01 58.46
2428.57 -32.35 443.40 -35.71 134.61 -170.64 56.20
2500.00 -23.08 431.08 -31.85 124.32 -176.33 51.56
2571.43 -14.40 418.43 -28.26 116.45 -179.02 47.28
2642.86 -6.21 405.44 -24.99 111.43 -185.65 44.29
2714.29 1.30 392.10 -22.05 102.79 -186.96 38.36
2785.71 8.51 378.66 -19.50 97.64 -189.99 33.24
2857.14 15.21 364.84 -17.15 88.88 -195.97 29.90
2928.57 21.05 350.70 -15.15 76.86 -200.40 24.59
3000.00 26.26 336.29 -13.48 68.85 -203.26 21.76
3071.43 30.79 321.57 -11.95 58.21 -207.92 18.73
3142.86 34.53 306.51 -10.74 47.62 -213.86 15.54
3214.29 37.51 291.13 -9.90 36.77 -218.24 8.78
3285.71 39.53 275.31 -9.47 20.88 -223.21 3.25
3357.14 40.50 259.25 -9.31 4.83 -228.18 -0.96
3428.57 40.20 242.82 -9.53 -13.28 -231.92 -7.11
3500.00 38.60 226.04 -10.30 -32.23 -238.68 -14.09
3571.43 35.60 208.77 -11.59 -54.36 -244.94 -20.53
3642.86 30.90 191.16 -13.41 -79.97 -246.21 -32.18
3714.29 23.98 173.64 -16.06 -113.68 -243.07 -44.04
3785.71 14.48 156.60 -19.65 -152.04 -232.36 -56.77
3857.14 2.43 140.73 -24.22 -188.07 -210.41 -71.71
3928.57 -12.10 126.71 -29.65 -219.98 -178.96 -81.13
4000.00 -28.74 115.70 -35.60 -246.16 -128.94 -86.13
4071.43 -47.00 108.43 -41.57 -260.07 -70.27 -78.51
4142.86 -65.25 105.84 -46.87 -250.82 -1.98 -66.68
4214.29 -82.18 108.25 -50.97 -219.33 69.45 -47.08
4285.71 -96.00 115.28 -53.68 -166.14 123.71 -29.06
4357.14 -105.56 125.39 -55.01 -104.64 154.61 -10.30
4428.57 -110.98 137.04 -55.07 -46.87 169.02 6.85
4500.00 -112.59 149.10 -54.14 1.30 169.70 16.36
4571.43 -111.06 161.07 -52.71 39.51 165.45 25.65
4642.86 -106.94 172.64 -50.61 71.77 160.41 30.74
4714.29 -100.72 183.76 -48.17 100.62 153.75 39.51
4785.71 -92.70 194.41 -45.02 125.20 145.91 49.60
4857.14 -82.75 204.45 -41.14 148.53 137.66 59.54
4928.57 -71.54 213.94 -36.38 167.27 129.80 72.01
5000.00 -59.16 223.01 -30.83 183.14 123.04 85.72
5071.43 -45.23 231.59 -23.99 206.14 120.57 106.51
5142.86 -29.89 240.09 -15.14 230.49 113.39 144.49
5214.29 -12.61 247.32 -2.69 255.37 86.46 213.28
5285.71 5.15 250.55 15.13 232.30 -6.16 277.19
5357.14 19.69 247.16 34.43 179.59 -81.36 260.13
5428.57 31.07 240.28 51.53 141.98 -112.72 221.11
5500.00 40.45 231.66 65.90 117.68 -131.77 184.18
5571.43 47.99 222.03 77.90 94.13 -142.61 156.86
5642.86 54.23 211.72 87.98 77.51 -149.66 128.61
5714.29 59.34 200.64 96.33 62.87 -158.00 104.57
5785.71 63.56 189.35 103.06 50.53 -162.12 81.83
5857.14 66.72 177.84 107.86 33.85 -167.49 58.08
5928.57 68.40 165.87 110.98 20.23 -167.59 36.61
6000.00 69.78 153.88 112.81 6.91 -168.64 11.74
6071.43 70.11 142.08 113.07 -4.00 -166.23 -11.18
6142.86 69.39 130.28 111.37 -18.61 -160.96 -36.48
6214.29 67.80 118.92 107.96 -32.00 -155.34 -65.96
6285.71 65.18 108.20 102.72 -47.00 -142.30 -98.38
6357.14 60.93 98.41 94.42 -63.90 -125.71 -129.65
6428.57 55.86 90.16 84.06 -76.69 -102.66 -162.52
6500.00 49.77 83.85 71.02 -89.35 -71.83 -197.69
6571.43 42.77 80.30 55.80 -102.21 -25.94 -228.49
6642.86 35.33 80.52 38.41 -107.51 34.56 -254.40
6714.29 27.53 85.65 20.29 -99.78 115.47 -253.72
6785.71 20.98 96.58 3.03 -75.95 186.32 -217.87
6857.14 16.59 111.64 -10.25 -39.58 224.78 -151.77
6928.57 14.98 127.49 -18.72 -8.08 231.35 -89.80
7000.00 15.41 143.23 -22.99 19.82 216.52 -37.54
7071.43 17.48 157.33 -24.05 39.37 195.19 4.15
7142.86 20.88 170.24 -22.61 55.15 172.43 36.25
7214.29 25.10 181.24 -19.21 66.16 145.69 62.19
7285.71 30.30 189.80 -13.59 77.19 119.94 85.98
7357.14 35.91 197.19 -7.12 85.79 91.18 104.27
7428.57 42.13 201.86 0.73 93.11 64.33 121.29
7500.00 48.77 204.91 9.54 98.97 32.59 134.49
7571.43 55.84 206.32 18.95 103.13 2.59 144.64
7642.86 62.66 205.42 28.57 103.06 -29.87 153.61
7714.29 70.05 201.43 39.48 102.33 -64.63 161.63
7785.71 76.73 196.13 49.69 104.69 -101.42 162.93
7857.14 83.98 188.22 60.65 102.06 -140.12 161.75
7928.57 91.00 177.21 71.13 95.78 -186.08 157.00
8000.00 97.52 163.74 81.65 89.59 -231.21 143.11
8071.43 103.47 146.29 90.76 72.62 -283.71 115.58
8142.86 107.75 125.24 97.41 45.14 -327.98 67.93
8214.29 110.33 101.56 100.45 9.77 -352.93 -5.54
8285.71 109.85 77.43 98.19 -36.29 -327.78 -89.12
8357.14 106.32 55.75 90.12 -72.43 -262.97 -149.44
8428.57 101.32 40.00 79.93 -84.43 -187.05 -178.37
8500.00 95.57 29.59 67.77 -86.58 -115.25 -181.18
8571.43 90.05 23.76 56.12 -80.42 -51.68 -172.24
8642.86 85.07 21.55 45.19 -74.17 -4.60 -153.10
8714.29 80.11 21.87 35.19 -57.18 37.50 -126.22
8785.71 76.73 25.60 27.54 -40.69 70.35 -96.85
8857.14 74.51 31.38 21.76 -23.05 95.29 -65.10
8928.57 73.90 39.04 18.85 -1.00 116.06 -29.99
9000.00 74.48 47.20 18.06 16.78 131.73 3.59
9071.43 77.38 56.89 21.14 37.58 140.49 40.92
9142.86 80.87 66.00 25.55 61.38 143.70 83.91
9214.29 86.80 75.31 34.08 85.59 140.28 127.92
9285.71 94.66 83.12 45.50 116.64 127.82 175.65
9357.14 104.38 90.06 59.89 149.72 96.94 229.63
9428.57 115.45 95.33 76.47 179.89 37.33 281.40
9500.00 127.80 94.86 94.82 208.67 -56.17 310.15
9571.43 140.64 87.62 112.95 204.70 -173.52 287.21
9642.86 151.99 74.34 127.79 164.70 -246.42 205.55
9714.29 160.72 58.76 137.87 117.39 -258.72 124.46
9785.71 166.65 43.28 143.21 74.29 -240.55 59.28
9857.14 169.98 29.33 144.93 42.49 -209.42 12.32
9928.57 172.13 16.95 144.96 12.64 -176.56 -24.22
10000.00 172.01 8.33 141.85 -10.76 -133.09 -49.96
10071.40 170.73 1.51 137.47 -28.40 -85.43 -75.83
