#t x y z vx vy vz
0.00 -476.24 491.45 -412.39 43.69 101.48 140.78
71.43 -472.91 498.93 -402.03 48.64 107.56 147.75
142.86 -469.13 506.70 -391.37 58.53 111.80 150.75
214.29 -464.75 514.90 -380.32 63.04 116.70 160.04
285.71 -459.94 523.44 -368.48 72.20 124.56 171.96
357.14 -454.44 532.52 -355.80 81.67 129.66 183.85
428.57 -448.06 541.92 -342.37 95.09 134.17 191.33
500.00 -440.81 551.49 -328.35 107.10 134.24 201.93
571.43 -432.32 561.21 -313.57 130.95 137.47 211.96
642.86 -422.15 570.92 -298.08 151.93 135.21 223.19
714.29 -410.41 580.38 -281.62 177.95 127.54 236.62
785.71 -396.67 588.92 -264.55 205.09 113.15 241.83
857.14 -380.94 596.34 -247.01 237.95 92.89 248.12
928.57 -362.89 601.86 -229.32 263.89 60.80 246.72
1000.00 -343.40 605.15 -212.05 279.48 31.91 236.98
1071.43 -323.19 606.35 -195.58 287.17 2.21 221.06
1142.86 -302.67 605.51 -180.43 287.16 -25.37 203.79
1214.29 -282.30 602.79 -166.47 281.46 -52.39 186.78
1285.71 -262.51 598.37 -153.56 272.40 -69.13 174.64
1357.14 -243.38 592.95 -141.43 263.64 -81.16 164.36
1428.57 -224.82 586.55 -130.20 254.91 -96.38 149.85
1500.00 -207.06 579.25 -119.91 244.40 -106.66 140.05
1571.43 -189.88 571.29 -110.34 236.23 -115.34 129.93
1642.86 -173.33 562.82 -101.41 227.16 -121.92 121.49
1714.29 -157.44 553.79 -93.12 217.55 -130.81 112.78
1785.71 -142.30 544.28 -85.34 207.87 -135.48 105.25
1857.14 -127.70 534.40 -78.09 199.87 -141.60 97.29
1928.57 -113.69 524.08 -71.40 192.28 -146.94 91.12
2000.00 -100.31 513.29 -65.17 183.31 -154.28 84.63
2071.43 -87.63 502.08 -59.32 171.73 -157.67 79.71
2142.86 -75.57 490.76 -53.90 166.71 -158.33 72.61
2214.29 -64.01 479.34 -48.93 156.49 -162.05 67.89
2285.71 -52.96 467.58 -44.17 151.18 -165.36 64.31
2357.14 -42.43 455.63 -39.85 145.20 -169.46 59.32
2428.57 -32.40 443.41 -35.72 135.57 -170.71 56.38
2500.00 -23.05 431.10 -31.79 125.58 -175.74 52.65
2571.43 -14.38 418.44 -28.24 117.00 -179.49 46.56
2642.86 -6.25 405.45 -24.99 110.80 -185.20 43.92
2714.29 1.39 392.09 -22.03 104.11 -187.15 37.16
2785.71 8.55 378.67 -19.49 97.29 -189.81 33.98
2857.14 15.18 364.84 -17.16 87.79 -196.39 29.90
2928.57 20.99 350.69 -15.15 78.73 -199.80 26.28
3000.00 26.22 336.29 -13.50 68.35 -203.18 21.91
3071.43 30.76 321.57 -11.98 57.86 -208.60 19.63
3142.86 34.55 306.50 -10.74 47.82 -213.81 14.22
3214.29 37.53 291.13 -9.90 36.44 -217.79 9.27
3285.71 39.55 275.33 -9.45 21.70 -223.69 4.08
3357.14 40.49 259.25 -9.33 5.59 -227.41 0.22
3428.57 40.24 242.81 -9.56 -14.07 -231.43 -6.78
3500.00 38.60 226.04 -10.32 -31.12 -238.11 -14.35
3571.43 35.61 208.77 -11.58 -54.31 -244.43 -20.76
3642.86 30.88 191.18 -13.38 -79.84 -246.05 -31.47
3714.29 23.95 173.65 -16.04 -113.73 -243.59 -44.27
3785.71 14.48 156.61 -19.63 -151.81 -232.04 -56.15
3857.14 2.42 140.75 -24.22 -187.22 -210.16 -71.15
3928.57 -12.12 126.72 -29.62 -219.17 -178.24 -80.80
4000.00 -28.76 115.70 -35.61 -247.03 -129.36 -85.48
4071.43 -46.98 108.45 -41.55 -259.35 -70.47 -79.85
4142.86 -65.28 105.83 -46.87 -249.91 -1.55 -66.14
4214.29 -82.10 108.26 -50.95 -218.38 68.11 -48.06
4285.71 -96.01 115.29 -53.67 -166.68 123.57 -28.51
4357.14 -105.65 125.37 -55.00 -105.14 154.90 -9.15
4428.57 -111.03 137.05 -55.03 -47.18 168.97 6.60
4500.00 -112.53 149.10 -54.21 0.71 169.30 16.28
4571.43 -111.01 161.08 -52.70 39.35 165.11 25.09
4642.86 -106.93 172.65 -50.63 71.98 159.74 30.22
4714.29 -100.69 183.78 -48.14 101.18 153.21 38.35
4785.71 -92.59 194.41 -45.03 126.66 145.61 48.70
4857.14 -82.77 204.49 -41.12 147.87 137.81 58.84
4928.57 -71.56 213.99 -36.43 165.64 129.89 72.06
5000.00 -59.12 222.95 -30.82 183.91 124.12 86.08
5071.43 -45.35 231.66 -23.98 205.76 121.40 107.04
5142.86 -29.81 240.00 -15.18 230.70 113.71 144.95
5214.29 -12.54 247.31 -2.64 255.40 86.33 212.89
5285.71 5.20 250.58 15.15 232.16 -6.14 276.57
5357.14 19.71 247.23 34.43 179.55 -80.55 259.40
5428.57 31.12 240.37 51.55 142.67 -111.95 220.92
5500.00 40.38 231.81 65.90 116.99 -131.66 185.15
5571.43 48.13 222.05 78.06 95.53 -142.29 155.47
5642.86 54.26 211.78 88.06 78.13 -150.05 126.87
5714.29 59.34 200.79 96.26 62.45 -158.07 104.95
5785.71 63.44 189.53 102.85 49.25 -162.61 81.81
5857.14 66.51 177.81 107.76 33.89 -167.84 58.92
5928.57 68.66 165.94 111.13 20.58 -167.22 36.03
6000.00 69.79 153.91 112.84 7.53 -168.93 11.78
6071.43 70.06 142.04 112.90 -3.93 -165.90 -10.83
6142.86 69.47 130.28 111.49 -19.76 -160.54 -37.25
6214.29 67.72 118.84 107.99 -31.51 -155.07 -65.88
6285.71 65.11 108.23 102.53 -48.52 -142.26 -97.90
6357.14 61.09 98.51 94.43 -63.45 -125.14 -130.99
6428.57 55.80 90.20 83.84 -77.39 -102.73 -163.99
6500.00 49.79 83.84 71.05 -90.02 -71.05 -196.40
6571.43 42.83 80.20 55.83 -102.85 -25.91 -229.82
6642.86 35.26 80.41 38.57 -108.26 34.49 -253.88
6714.29 27.49 85.70 20.23 -99.91 115.44 -254.36
6785.71 20.95 96.65 3.03 -75.58 185.93 -217.06
6857.14 16.65 111.61 -10.25 -39.36 224.89 -152.33
6928.57 15.02 127.47 -18.66 -8.70 230.52 -89.44
7000.00 15.48 143.14 -23.01 20.00 216.66 -36.96
7071.43 17.37 157.48 -24.16 39.62 195.45 3.76
7142.86 20.80 170.21 -22.71 55.82 171.75 36.32
7214.29 25.14 181.05 -19.09 66.21 145.45 62.90
7285.71 30.24 190.01 -13.73 76.75 119.44 86.28
7357.14 35.94 197.05 -7.05 85.26 90.22 104.42
7428.57 42.17 202.16 0.71 92.68 65.34 122.39
7500.00 48.88 205.23 9.57 98.26 33.46 134.71
7571.43 55.80 206.24 18.98 102.86 2.76 144.45
7642.86 62.87 205.10 28.95 102.99 -29.40 154.64
7714.29 69.91 201.83 39.31 102.83 -64.68 160.47
7785.71 76.95 196.29 49.93 104.58 -101.30 163.73
7857.14 84.03 188.13 60.68 102.20 -140.30 161.28
7928.57 90.95 177.32 71.35 97.19 -186.47 156.89
8000.00 97.60 163.22 81.58 88.98 -232.51 143.06
8071.43 103.37 145.76 90.74 71.96 -283.23 116.10
8142.86 107.74 125.26 97.37 45.75 -328.09 68.57
8214.29 110.18 101.55 100.35 9.42 -352.31 -5.94
8285.71 109.78 77.24 97.87 -36.44 -328.62 -90.14
8357.14 106.46 55.86 90.35 -70.60 -263.24 -150.91
8428.57 101.24 40.00 79.73 -85.15 -186.31 -178.80
8500.00 95.62 29.42 67.83 -86.46 -115.64 -182.32
8571.43 90.04 23.82 56.15 -81.76 -51.86 -173.07
8642.86 84.85 21.72 45.15 -73.07 -3.14 -151.54
8714.29 80.09 22.19 35.16 -57.27 37.38 -126.02
8785.71 76.63 25.63 27.45 -40.95 69.89 -97.08
8857.14 74.65 31.40 22.00 -22.13 95.29 -65.33
8928.57 73.90 38.92 18.91 -1.13 115.45 -30.27
9000.00 74.64 47.37 18.38 16.35 131.40 4.29
9071.43 76.91 56.59 20.43 38.16 141.20 40.60
9142.86 81.00 66.18 25.63 62.05 144.63 83.69
9214.29 86.62 75.15 33.67 85.40 141.02 127.84
9285.71 94.77 83.31 45.67 116.82 127.62 176.61
9357.14 104.64 90.49 60.29 150.43 96.70 229.49
9428.57 115.53 95.49 76.50 182.88 37.23 280.86
9500.00 128.12 94.73 95.16 209.00 -55.90 310.27
9571.43 140.74 87.49 113.17 205.76 -174.31 286.56
9642.86 152.21 74.22 128.07 165.45 -246.30 203.98
9714.29 160.96 58.61 137.92 116.71 -259.06 125.08
9785.71 166.34 43.01 142.75 73.37 -240.12 60.10
9857.14 169.86 29.44 144.80 41.12 -209.96 12.08
9928.57 171.86 17.52 144.58 13.27 -175.22 -24.79
10000.00 171.91 7.88 141.78 -11.99 -134.68 -50.62
10071.40 170.95 0.98 137.76 -29.30 -88.82 -74.34
10142.90 168.82 -3.80 132.30 -45.54 -48.60 -98.33
10214.30 166.31 -5.29 126.69 -59.62 -0.34 -117.06
10285.70 162.52 -3.59 119.89 -73.24 54.41 -124.56
10357.10 158.77 0.84 113.76 -83.15 119.52 -123.50
10428.60 154.77 9.09 107.93 -82.82 195.03 -103.70
10500.00 151.01 21.62 103.93 -59.75 274.52 -49.51
10571.40 149.57 37.59 103.78 -1.60 317.69 43.08
10642.90 152.04 54.01 109.22 68.81 275.08 136.54
10714.30 157.97 66.60 118.72 112.35 189.63 180.56
10785.70 165.24 73.77 128.96 111.63 100.84 197.28
10857.10 172.97 76.42 139.01 117.26 8.83 181.46
10928.60 180.86 76.21 148.53 117.23 -68.78 155.02
11000.00 188.34 72.65 156.70 110.47 -122.97 122.77
11071.40 194.95 66.67 163.30 92.70 -169.35 79.16
11142.90 200.93 58.95 168.63 69.08 -192.53 34.07
11214.30 205.51 49.68 171.76 40.05 -206.87 0.54
11285.70 208.11 38.65 172.19 32.85 -228.03 -26.20
11357.10 209.07 27.03 170.24 9.66 -240.94 -50.16
