#t x y z vx vy vz
0.00 -98.53 -120.01 -127.76 -28.40 173.77 93.45
0.00 -98.56 -119.84 -127.67 -28.34 173.85 93.54
0.00 -98.59 -119.66 -127.57 -28.27 173.94 93.63
0.00 -98.61 -119.49 -127.48 -28.20 174.02 93.72
0.00 -98.64 -119.31 -127.39 -28.13 174.10 93.81
0.01 -98.67 -119.14 -127.29 -28.06 174.19 93.90
0.01 -98.70 -118.97 -127.20 -27.99 174.27 93.99
0.01 -98.73 -118.79 -127.10 -27.92 174.35 94.08
0.01 -98.76 -118.62 -127.01 -27.85 174.44 94.17
0.01 -98.78 -118.44 -126.92 -27.78 174.52 94.26
0.01 -98.81 -118.27 -126.82 -27.71 174.61 94.35
0.01 -98.84 -118.09 -126.73 -27.64 174.69 94.44
0.01 -98.87 -117.92 -126.63 -27.57 174.77 94.53
0.01 -98.89 -117.74 -126.54 -27.50 174.86 94.62
0.01 -98.92 -117.57 -126.44 -27.43 174.94 94.71
0.02 -98.95 -117.39 -126.35 -27.36 175.03 94.80
0.02 -98.98 -117.22 -126.25 -27.29 175.11 94.89
0.02 -99.00 -117.04 -126.16 -27.22 175.19 94.98
0.02 -99.03 -116.87 -126.06 -27.15 175.28 95.07
0.02 -99.06 -116.69 -125.97 -27.08 175.36 95.16
0.02 -99.08 -116.52 -125.87 -27.00 175.45 95.25
0.02 -99.11 -116.34 -125.78 -26.93 175.53 95.35
0.02 -99.14 -116.17 -125.68 -26.86 175.61 95.44
0.02 -99.16 -115.99 -125.59 -26.79 175.70 95.53
0.02 -99.19 -115.82 -125.49 -26.72 175.78 95.62
0.03 -99.22 -115.64 -125.40 -26.64 175.87 95.71
0.03 -99.24 -115.46 -125.30 -26.57 175.95 95.80
0.03 -99.27 -115.29 -125.20 -26.50 176.04 95.90
0.03 -99.30 -115.11 -125.11 -26.43 176.12 95.99
0.03 -99.32 -114.94 -125.01 -26.35 176.20 96.08
0.03 -99.35 -114.76 -124.92 -26.28 176.29 96.17
0.03 -99.38 -114.58 -124.82 -26.21 176.37 96.26
0.03 -99.40 -114.41 -124.72 -26.13 176.46 96.36
0.03 -99.43 -114.23 -124.63 -26.06 176.54 96.45
0.03 -99.46 -114.05 -124.53 -25.99 176.63 96.54
0.04 -99.48 -113.88 -124.43 -25.91 176.71 96.63
0.04 -99.51 -113.70 -124.34 -25.84 176.80 96.73
0.04 -99.53 -113.52 -124.24 -25.76 176.88 96.82
0.04 -99.56 -113.35 -124.14 -25.69 176.97 96.91
0.04 -99.58 -113.17 -124.05 -25.62 177.05 97.01
0.04 -99.61 -112.99 -123.95 -25.54 177.14 97.10
0.04 -99.64 -112.81 -123.85 -25.47 177.22 97.19
0.04 -99.66 -112.64 -123.76 -25.39 177.30 97.29
0.04 -99.69 -112.46 -123.66 -25.32 177.39 97.38
0.04 -99.71 -112.28 -123.56 -25.24 177.47 97.48
0.05 -99.74 -112.11 -123.46 -25.16 177.56 97.57
0.05 -99.76 -111.93 -123.37 -25.09 177.64 97.66
0.05 -99.79 -111.75 -123.27 -25.01 177.73 97.76
0.05 -99.81 -111.57 -123.17 -24.94 177.82 97.85
0.05 -99.84 -111.39 -123.07 -24.86 177.90 97.95
